C Major: 261.63, 293.66, 329.63, 349.23, 392.00, 440.00, 493.88, 261.63
C Minor: 261.63, 293.66, 311.13, 349.23, 392.00, 415.30, 466.16, 261.63
Db/C# Major: 277.18, 311.13, 349.23, 369.99, 415.30, 466.16, 261.63, 277.18
Db/C# Minor: 277.18, 311.13, 329.63, 369.99, 415.30, 440.00, 493.88, 277.18
D Major: 293.66, 329.63, 369.99, 392.00, 440.00, 493.88, 277.18, 293.66
D Minor: 293.66, 329.63, 349.23, 392.00, 440.00, 466.16, 261.63, 293.66
Eb/D# Major: 311.13, 349.23, 392.00, 415.30, 466.16, 261.63, 293.66, 311.13
Eb/D# Minor: 311.13, 349.23, 369.99, 415.30, 466.16, 493.88, 277.18, 311.13
E Major: 329.63, 369.99, 415.30, 440.00, 493.88, 277.18, 311.13, 329.63
E Minor: 329.63, 369.99, 392.00, 440.00, 493.88, 261.63, 293.66, 329.63
F Major: 349.23, 392.00, 440.00, 466.16, 261.63, 293.66, 329.63, 349.23
F Minor: 349.23, 392.00, 415.30, 466.16, 261.63, 277.18, 311.13, 349.23
Gb/F# Major: 369.99, 415.30, 466.16, 493.88, 277.18, 311.13, 349.23, 369.99
Gb/F# Minor: 369.99, 415.30, 440.00, 493.88, 277.18, 293.66, 329.63, 369.99
G Major: 392.00, 440.00, 493.88, 261.63, 293.66, 329.63, 369.99, 392.00
G Minor: 392.00, 440.00, 466.16, 261.63, 293.66, 311.13, 349.23, 392.00
Ab/G# Major: 415.30, 466.16, 261.63, 277.18, 311.13, 349.23, 392.00, 415.30
Ab/G# Minor: 415.30, 466.16, 493.88, 277.18, 311.13, 329.63, 369.99, 415.30
A Major: 440.00, 493.88, 277.18, 293.66, 329.63, 369.99, 415.30, 440.00
A Minor: 440.00, 493.88, 261.63, 293.66, 329.63, 349.23, 392.00, 440.00
Bb/A# Major: 466.16, 261.63, 293.66, 311.13, 349.23, 392.00, 440.00, 466.16
Bb/A# Minor: 466.16, 261.63, 277.18, 311.13, 349.23, 369.99, 415.30, 466.16
B Major: 493.88, 277.18, 311.13, 329.63, 369.99, 415.30, 466.16, 493.88
B Minor: 493.88, 277.18, 293.66, 329.63, 369.99, 392.00, 440.00, 493.88
